SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AAVAS, EQ, 14-Nov-2024,1659.25,1666.05,1690.7,1644.55,1650,1650.2,1666.14,87443,1456.93,9654,37222,42.57
ABBOTINDIA, EQ, 14-Nov-2024,27629.8,27750,27903.95,27200.05,27454.5,27351.2,27531.9,7905,2176.4,3524,3511,44.41
ACC, EQ, 14-Nov-2024,2197.8,2198.9,2214.95,2178.05,2192.95,2188.15,2193.77,194258,4261.58,24522,74982,38.6
ADANIENT, EQ, 14-Nov-2024,2816.7,2824,2844.8,2801,2820,2826.8,2823.39,646797,18261.63,66067,178450,27.59
ADANIGREEN, EQ, 14-Nov-2024,1468.45,1480,1519.95,1473.85,1493,1490.3,1494.88,571469,8542.75,47217,186188,32.58
ADANIPORTS, EQ, 14-Nov-2024,1287.9,1289.95,1296.65,1260.65,1264.95,1264.55,1272.67,2963013,37709.32,152378,1561024,52.68
ADANIPOWER, EQ, 14-Nov-2024,547,559.95,567.1,547,550,549.1,555.43,3095845,17195.24,71878,602350,19.46
AMBER, EQ, 14-Nov-2024,6086.95,6125,6185.05,6055.15,6086,6119.55,6122.62,171704,10512.79,27720,35390,20.61
APOLLOHOSP, EQ, 14-Nov-2024,6858.85,6860,6908,6827.05,6857.5,6860.65,6868.55,192648,13232.13,42103,103604,53.78
AXISBANK, EQ, 14-Nov-2024,1139.15,1137.55,1150.75,1131.6,1140,1140.7,1140.75,5975873,68169.65,198141,3615850,60.51
BAJAJ-AUTO, EQ, 14-Nov-2024,9452.15,9410,9516.95,9400,9506,9482.95,9473.01,275791,26125.72,63121,118688,43.04
BAJAJHLDNG, EQ, 14-Nov-2024,10528.65,10530,11154.5,10249,10850,10850.1,10922.44,106278,11608.15,34860,26120,24.58
BAJFINANCE, EQ, 14-Nov-2024,6566,6572.3,6639.45,6530,6570,6549.15,6565.76,527703,34647.71,83537,210441,39.88
BEL, EQ, 14-Nov-2024,281.55,282,284.45,275.5,281.25,280.95,280.75,20541591,57671.24,175458,6416751,31.24
BIRLACORPN, EQ, 14-Nov-2024,1084.5,1084.55,1107.1,1079.85,1085,1085.3,1089.51,62266,678.4,11661,27799,44.65
CELLO, EQ, 14-Nov-2024,816.45,811.75,820,802,808.95,806.8,807.2,181102,1461.86,9896,144731,79.92
CIPLA, EQ, 14-Nov-2024,1505.6,1497,1517,1490.25,1501.3,1499.75,1500.34,1469143,22042.08,96650,776204,52.83
DABUR, EQ, 14-Nov-2024,510.85,510.85,513.95,502.65,508.55,508.1,507.25,2083472,10568.32,50903,1216402,58.38
DMART, EQ, 14-Nov-2024,3759.55,3785.2,3858.85,3769,3821.5,3823.85,3827.65,305991,11712.26,48805,154563,50.51
GILLETTE, EQ, 14-Nov-2024,9556.15,9590.5,9877.85,9361.65,9400,9427.15,9651.83,51977,5016.73,14588,15446,29.72
GODREJIND, EQ, 14-Nov-2024,932.85,950,1021.45,921,930,931.95,951.85,843498,8028.82,62024,133232,15.8
HAL, EQ, 14-Nov-2024,4066.9,4080,4185,3920.35,4101.5,4087.05,4064.85,3878379,157650.45,300976,755375,19.48
HATSUN, EQ, 14-Nov-2024,1071.55,1055.55,1092.9,1055.55,1073.6,1085.6,1080.84,11401,123.23,2899,5457,47.86
HDFCBANK, EQ, 14-Nov-2024,1681.35,1673.1,1704.85,1672.1,1692.4,1692.75,1692.96,13573235,229789.08,331159,7307878,53.84
HYUNDAI, EQ, 14-Nov-2024,1739.95,1749.95,1779,1716.1,1763.05,1765.75,1753,580587,10177.7,45397,249625,43
ICICIBANK, EQ, 14-Nov-2024,1253.7,1253.75,1267.7,1243.05,1258.95,1256.95,1255.26,9506892,119335.98,224597,5310528,55.86
INDIGO, EQ, 14-Nov-2024,3848.8,3864,3919.9,3838.95,3886,3891.2,3889.98,583377,22693.24,77661,304794,52.25
INDIGOPNTS, EQ, 14-Nov-2024,1500.4,1510.2,1540.5,1493.3,1500,1500.15,1509.45,93795,1415.79,10605,40546,43.23
INOXINDIA, EQ, 14-Nov-2024,1182.75,1180,1191.55,1159.45,1175,1176.9,1175.63,124148,1459.52,12611,49267,39.68
IRCTC, EQ, 14-Nov-2024,801.4,800,808.25,791,801.2,799.6,799.25,845850,6760.46,51975,302721,35.79
JUSTDIAL, EQ, 14-Nov-2024,1061.15,1060.3,1095,1060.3,1088.75,1081.35,1080.56,181371,1959.83,14241,47122,25.98
KOTAKBANK, EQ, 14-Nov-2024,1687.85,1690,1712.6,1689.8,1708.55,1707.9,1704.18,3327758,56711.08,172759,2409019,72.39
LICI, EQ, 14-Nov-2024,897.9,905,924.5,895.6,907.55,908.65,910.25,1221663,11120.14,46501,373932,30.61
LICMFGOLD, EQ, 14-Nov-2024,6842.6,6799.85,6811,6690,6699,6702.95,6727.26,666,44.8,278,512,76.88
LMW, EQ, 14-Nov-2024,15250.2,15282.95,15795.9,15150.2,15150.2,15231.8,15433.48,5260,811.8,1923,1716,32.62
MANKIND, EQ, 14-Nov-2024,2532.15,2532.15,2666,2532.15,2600,2597.65,2611.05,347189,9065.29,50171,96812,27.88
MARUTI, EQ, 14-Nov-2024,11049.6,11055,11117.7,10892.1,10992.95,11006.05,10978.75,431348,47356.61,76909,236843,54.91
NAUKRI, EQ, 14-Nov-2024,7614.95,7615,7842.05,7550,7788.95,7768.2,7759.69,187611,14558.03,31425,65769,35.06
NEULANDLAB, EQ, 14-Nov-2024,14666.35,14610,16162.05,14103.1,15470,15590.25,15482.68,83583,12940.89,32493,21143,25.3
PGHH, EQ, 14-Nov-2024,15534.95,15550,15839.95,15450,15688,15704,15533.2,11048,1716.11,2662,7782,70.44
POLYCAB, EQ, 14-Nov-2024,6328.25,6334.95,6400,6277.45,6307,6301.9,6325.24,191359,12103.92,25893,61110,31.93
POWERINDIA, EQ, 14-Nov-2024,12121.25,12121.25,12295.1,11716.05,11790,11782.35,11897.44,126619,15064.42,39077,77666,61.34
PRESTIGE, EQ, 14-Nov-2024,1519.6,1524.6,1553,1508.65,1549,1547.2,1533.31,615995,9445.09,65885,368517,59.82
PRITI, EQ, 14-Nov-2024,150.22,154.19,159,150.91,156.45,155.69,155.56,56357,87.67,1110,36671,65.07
PRUDENT, EQ, 14-Nov-2024,2884,2885,3046,2863.45,2994,2992.75,3000.73,74182,2226,21042,44137,59.5
PVRINOX, EQ, 14-Nov-2024,1443.35,1449.15,1479,1447,1459,1461.55,1462.8,527499,7716.23,27804,131371,24.9
RAYMOND, EQ, 14-Nov-2024,1497.85,1498,1521.55,1488.05,1508.1,1504.7,1506.1,87800,1322.36,10074,25021,28.5
RELIANCE, EQ, 14-Nov-2024,1252.05,1253.6,1272.6,1251.1,1266.9,1267.6,1263.73,12612633,159389.29,301253,6976289,55.31
SBIN, EQ, 14-Nov-2024,808.65,808.65,818,801.05,805.95,804.25,807.42,9461484,76393.9,223899,3099231,32.76
TASTYBITE, EQ, 14-Nov-2024,11678.35,11820,12251,11465.05,12250,12180.4,11953.81,3892,465.24,1599,1846,47.43
TATACHEM, EQ, 14-Nov-2024,1041.15,1041.15,1066.95,1041.05,1059,1058.55,1057.32,588233,6219.53,32422,197004,33.49
TATACOMM, EQ, 14-Nov-2024,1745.1,1740.2,1777.35,1740.2,1749.8,1749.9,1758.61,121569,2137.92,12475,35121,28.89
TATAELXSI, EQ, 14-Nov-2024,6417.3,6445.3,6511,6338.2,6383,6374.55,6402.5,241446,15458.59,44196,119555,49.52
TCI, EQ, 14-Nov-2024,1129.4,1129.4,1174.5,1110.5,1160.1,1165.9,1155.19,32040,370.12,3945,16601,51.81
TCS, EQ, 14-Nov-2024,4150.35,4135,4160,4116.45,4148,4145.9,4142.32,1825432,75615.31,165379,1122028,61.47
ULTRACEMCO, EQ, 14-Nov-2024,10782.2,10726,10832.5,10542.5,10720.3,10728.5,10716.27,297442,31874.68,61004,150462,50.59
WHIRLPOOL, EQ, 14-Nov-2024,1779.55,1768.5,1857,1755.05,1795,1802.95,1820.34,168047,3059.03,28539,65374,38.9
WONDERLA, EQ, 14-Nov-2024,836.65,836.95,839.95,818.55,833,829.95,830.77,49145,408.28,5598,25327,51.54
ZFCVINDIA, EQ, 14-Nov-2024,14788.8,14788.8,14985.5,14497.7,14580.25,14669.35,14801.34,10179,1506.63,5616,4498,44.19
